aa_eleicao,cd_tipo_eleicao,nm_tipo_eleicao,cd_eleicao,ds_eleicao,dt_eleicao,sg_uf,cd_municipio,nm_municipio,nr_zona,nm_local_votacao,ds_local_votacao_endereco,nr_turno,ds_cargo,nr_votavel,nm_votavel,sq_candidato,qt_aptos,qt_comparecimento,qt_abstencoes,qt_votos_nominais,qt_votos,dt_carga,qt_registros
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL HELENA RIBEIRO DANTAS,"DISTRITO DE MINAMORA, S/N",1,Vereador,20200,MARCELO VARELLA DE FIGUEIREDO,,333,284,49,261,1,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,C.E.I. ROSILDA RODRIGUES DUARTE,"DISTRITO DE GRAVATÁ, S/N",1,Vereador,20200,MARCELO VARELLA DE FIGUEIREDO,,384,332,52,285,4,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA ESTADUAL BARAO DE CEARA MIRIM,"RUA PEDRO DE OLIVEIRA CORREIA, 95",1,Vereador,20200,MARCELO VARELLA DE FIGUEIREDO,,2126,1752,374,1569,7,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL BRASILIANO MARQUES DE ARAUJO,"PRAIA DE JACUMA, S/N",1,Vereador,20200,MARCELO VARELLA DE FIGUEIREDO,,472,430,42,403,2,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL PROF.ª ADELE DE OLIVEIRA,"RUA FLORIANO FERREIRA DA SILVA, S/N",1,Vereador,20200,MARCELO VARELLA DE FIGUEIREDO,,3150,2594,556,2312,8,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL VIRGILIO LUIZ,"DISTRITO DE MATAS, S/N",1,Vereador,20200,MARCELO VARELLA DE FIGUEIREDO,,815,714,101,647,11,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL MANOEL DANTAS BARRETO,"DISTRITO DE JACOCA, S/N",1,Vereador,20200,MARCELO VARELLA DE FIGUEIREDO,,1012,846,166,750,1,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,FATEX - COMPLEXO DE ENSINO,"AVENIDA FREI DAMIÃO, 181",1,Vereador,20200,MARCELO VARELLA DE FIGUEIREDO,,470,355,115,306,3,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL ROTARY,"RUA PRISCO ROCHA, 661",1,Vereador,20200,MARCELO VARELLA DE FIGUEIREDO,,1386,1139,247,983,3,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA ESTADUAL PROFESSOR EDGAR BARBOSA,"RUA AMPARO, SN",1,Vereador,20200,MARCELO VARELLA DE FIGUEIREDO,,1024,843,181,753,2,2020-12-21 16:55:14,1
