aa_eleicao,cd_tipo_eleicao,nm_tipo_eleicao,cd_eleicao,ds_eleicao,dt_eleicao,sg_uf,cd_municipio,nm_municipio,nr_zona,nm_local_votacao,ds_local_votacao_endereco,nr_turno,ds_cargo,nr_votavel,nm_votavel,sq_candidato,qt_aptos,qt_comparecimento,qt_abstencoes,qt_votos_nominais,qt_votos,dt_carga,qt_registros
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL ALCIDES CAMARA DE SOUZA,"RUA ALCIDES CAMARA, 03, CAPELA",1,Vereador,23556,LUZIVAM OLIVEIRA DE AQUINO,,1280,1127,153,1033,3,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL PROFESSORA MARIA ESTER PAIVA,"DISTRITO DE MASSANGANA, S/N",1,Vereador,23556,LUZIVAM OLIVEIRA DE AQUINO,,740,646,94,568,5,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL MANOEL PEREIRA DOS SANTOS,"DISTRITO DE PRIMAVERA, S/N",1,Vereador,23556,LUZIVAM OLIVEIRA DE AQUINO,,613,525,88,471,2,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,INSTITUTO IMACULADA CONCEICAO,"HERACLITO VILAR, 331",1,Vereador,23556,LUZIVAM OLIVEIRA DE AQUINO,,1349,1116,233,978,19,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL JOAQUIM FERNANDES SOBRAL,"DISTRITO DE TABUAO, S/N",1,Vereador,23556,LUZIVAM OLIVEIRA DE AQUINO,,520,441,79,396,1,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL MANOEL DANTAS BARRETO,"DISTRITO DE JACOCA, S/N",1,Vereador,23556,LUZIVAM OLIVEIRA DE AQUINO,,1012,846,166,750,8,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL GONCALO TEIXEIRA DA SILVA,"DISTRITO DE LAGOA GRANDE, S/N",1,Vereador,23556,LUZIVAM OLIVEIRA DE AQUINO,,796,696,100,635,1,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA ESTADUAL PROFESSOR EDGAR BARBOSA,"RUA AMPARO, SN",1,Vereador,23556,LUZIVAM OLIVEIRA DE AQUINO,,1024,843,181,753,4,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,CENTRO DE EDUCAÇÃO INFANTIL MARIA ALICE DE BRITO,"POVOADO DE MASSARANDUBA, S/N",1,Vereador,23556,LUZIVAM OLIVEIRA DE AQUINO,,555,496,59,432,2,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,FATEX - COMPLEXO DE ENSINO,"AVENIDA FREI DAMIÃO, 181",1,Vereador,23556,LUZIVAM OLIVEIRA DE AQUINO,,470,355,115,306,4,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL DR JULIO SENNA,"RUA DAS ALGAROBAS, S/N - CONJUNTO COHAB",1,Vereador,23556,LUZIVAM OLIVEIRA DE AQUINO,,2995,2459,536,2194,11,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA ESTADUAL  ENEAS CAVALCANTE,"RUA MANOEL MARQUES, S/N",1,Vereador,23556,LUZIVAM OLIVEIRA DE AQUINO,,1895,1523,372,1324,10,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL BRASILIANO JERONIMO DA SILVA,"POVOADO DE SITIO, SN",1,Vereador,23556,LUZIVAM OLIVEIRA DE AQUINO,,711,601,110,538,4,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA ESTADUAL BARAO DE CEARA MIRIM,"RUA PEDRO DE OLIVEIRA CORREIA, 95",1,Vereador,23556,LUZIVAM OLIVEIRA DE AQUINO,,2126,1752,374,1569,27,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL PROF.ª ADELE DE OLIVEIRA,"RUA FLORIANO FERREIRA DA SILVA, S/N",1,Vereador,23556,LUZIVAM OLIVEIRA DE AQUINO,,3150,2594,556,2312,5,2020-12-21 16:55:14,1
